ime,prezime,rekord,datum_rođenja,preciznost_značajnih_udaraca,broj_značajnih_udaraca_po_minuti,preciznost_rušenja,broj_rušenja_po_minuti,datum_prethodne_borbe,protivnik_ime,protivnik_prezime,rezultat
Jon,Jones,27-1-0,1987-07-19,57%,4.29,45%,1.93,2023-03-04,Ciryl,Gane,pobjeda
Jon,Jones,27-1-0,1987-07-19,57%,4.29,45%,1.93,2020-02-08,Dominick,Reyes,pobjeda
Stipe,Miocic,20-4-0,1982-08-19,53%,4.82,34%,1.86,2021-03-27,Francis,Ngannou,poraz
Stipe,Miocic,20-4-0,1982-08-19,53%,4.82,34%,1.86,2020-08-15,Daniel,Cormier,pobjeda
Tai,Tuivasa,24-3-0,1989-07-22,48%,3.93,14%,0.05,2023-09-09,Alexander,Volkov,poraz
Tai,Tuivasa,24-3-0,1989-07-22,48%,3.93,14%,0.05,2022-12-03,Sergei,Pavlovich,poraz
Israel,Adesanya,15-6-0,1993-03-16,49%,3.98,0%,0,2023-09-09,Sean,Strickland,poraz
Israel,Adesanya,15-6-0,1993-03-16,49%,3.98,0%,0,2023-04-08,Alex,Pereira,pobjeda
Alex,Pereira,8-2-0,1987-07-07,62%,5.11,100%,0.22,2023-07-29,Jan,Blachowicz,pobjeda
Alex,Pereira,8-2-0,1987-07-07,62%,5.11,100%,0.22,2023-04-08,Israel,Adesanya,poraz
Jan,Blachowicz,29-10-1,1983-02-24,50%,3.41,50%,1.09,2023-07-29,Alex,Pereira,poraz
Jan,Blachowicz,29-10-1,1983-02-24,50%,3.41,50%,1.09,2022-12-10,Magomed,Ankalaev,neriješeno
Magomed,Ankalaev,18-1-1,1992-06-02,52%,3.55,29%,0.99,2022-12-10,Jan,Blachowicz,neriješeno
Magomed,Ankalaev,18-1-1,1992-06-02,52%,3.55,29%,0.99,2022-07-30,Anthony,Smith,pobjeda
Alexander,Volkanovski,26-2-0,1988-09-29,56%,6.25,37%,1.86,2023-07-08,Yair,Rodriguez,pobjeda
Alexander,Volkanovski,26-2-0,1988-09-29,56%,6.25,37%,1.86,2023-02-11,Islam,Makhachev,poraz
Islam,Makhachev,24-1-0,1991-10-27,59%,2.35,62%,3.24,2023-02-11,Alexander,Volkanovski,pobjeda
Islam,Makhachev,24-1-0,1991-10-27,59%,2.35,62%,3.24,2022-02-26,Charles,Oliveira,pobjeda
Charles,Oliveira,34-9-0,1989-10-17,53%,3.54,40%,2.32,2023-06-10,Beneil,Dariush,pobjeda
Charles,Oliveira,34-9-0,1989-10-17,53%,3.54,40%,2.32,2022-10-22,Islam,Makhachev,poraz
